  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19931130       0.036667     -0.017606     -0.024467     -0.012911
   19561    19931231       0.119741      0.019513      0.016190      0.010091
   19561    19940131       0.000000      0.031466      0.049166      0.032501
   19561    19940228       0.086705     -0.024224     -0.009952     -0.030045
   19561    19940331      -0.048128     -0.045795     -0.045962     -0.045746
   19561    19940429       0.011236      0.009478     -0.011728      0.011531
   19561    19940531       0.036111      0.009360     -0.000831      0.012419
   19561    19940630      -0.002695     -0.027909     -0.028182     -0.026812
   19561    19940729      -0.035135      0.030633      0.015778      0.031467
   19561    19940831       0.025210      0.042597      0.036756      0.037643
   19561    19940930      -0.049451     -0.018363      0.004865     -0.026898
   19561    19941031       0.014451      0.014520     -0.003305      0.020834
   19561    19941130       0.028490     -0.037219     -0.040741     -0.039505
   19561    19941230       0.047354      0.012609     -0.013424      0.012299
   19561    19950131      -0.053191      0.020399      0.027860      0.024278
   19561    19950228       0.042135      0.039615      0.028369      0.036074
   19561    19950331       0.165312      0.027041      0.019518      0.027329
   19561    19950428       0.023256      0.025048      0.026976      0.027960
   19561    19950531       0.075000      0.034007      0.020270      0.036312
   19561    19950630       0.063694      0.031173      0.049917      0.021279
   19561    19950731       0.069860      0.040783      0.054708      0.031776
   19561    19950831      -0.041045      0.009305      0.032043     -0.000320
   19561    19950929       0.066406      0.036362      0.026400      0.040098
   19561    19951031      -0.040293     -0.011317     -0.041473     -0.004979
   19561    19951130       0.116412      0.042708      0.016659      0.041049
   19561    19951229       0.075472      0.015191      0.008928      0.017444
   19561    19960131      -0.011164      0.028144      0.034657      0.032617
   19561    19960229       0.050000      0.016310      0.032305      0.006934
   19561    19960329       0.067797      0.010927      0.024086      0.007917
   19561    19960430      -0.051948      0.025511      0.058049      0.013431
   19561    19960531       0.041461      0.026800      0.062615      0.022853
   19561    19960628       0.021994     -0.008298     -0.032167      0.002257
   19561    19960731       0.015782     -0.053819     -0.079602     -0.045748
   19561    19960830       0.025763      0.032463      0.045634      0.018814
   19561    19960930       0.044199      0.053019      0.028753      0.054173
   19561    19961031       0.009259      0.013739     -0.020842      0.026131
   19561    19961129       0.044875      0.065569      0.024696      0.073376
   19561    19961231       0.071698     -0.011388     -0.002604     -0.021505
   19561    19970131       0.005869      0.053473      0.063831      0.061317
   19561    19970228      -0.047561     -0.001122     -0.010299      0.005928
   19561    19970331      -0.030713     -0.044868     -0.049224     -0.042614
   19561    19970430       0.000000      0.042373     -0.021596      0.058406
   19561    19970530       0.071280      0.071624      0.085194      0.058577
   19561    19970630       0.007117      0.044095      0.043145      0.043453
   19561    19970731       0.106007      0.076514      0.048824      0.078123
   19561    19970829      -0.068967     -0.036290      0.027605     -0.057446
   19561    19970930      -0.001147      0.058499      0.081737      0.053154
   19561    19971031      -0.118255     -0.034436     -0.026145     -0.034478
   19561    19971128       0.109687      0.030404     -0.022063      0.044587
   19561    19971231      -0.078824      0.017817     -0.023875      0.015732
   19561    19980130      -0.026820      0.004502      0.015367      0.010150
   19561    19980227       0.142047      0.073303      0.060451      0.070449
   19561    19980331      -0.039171      0.051301      0.046884      0.049946
   19561    19980430      -0.039568      0.010903      0.023243      0.009076
   19561    19980529      -0.043396     -0.025748     -0.042571     -0.018826
   19561    19980630      -0.066754      0.031939     -0.029150      0.039438
   19561    19980731      -0.129032     -0.023368     -0.050546     -0.011615
   19561    19980831      -0.199291     -0.157840     -0.196383     -0.145797
   19561    19980930       0.109091      0.063828      0.043248      0.062396
   19561    19981030       0.094718      0.074393      0.037827      0.080294
   19561    19981130       0.085258      0.062024      0.075912      0.059126
   19561    19981231      -0.196923      0.063051      0.018861      0.056375
   19561    19990129       0.063218      0.038456      0.064848      0.041009
   19561    19990226       0.031063     -0.038085     -0.042172     -0.032283
   19561    19990331      -0.045614      0.037932     -0.001373      0.038794
   19561    19990430       0.194853      0.049105      0.083900      0.037944
   19561    19990528       0.038831     -0.020709      0.025134     -0.024970
   19561    19990630       0.046062      0.050820      0.038391      0.054438
   19561    19990730       0.031250     -0.030716      0.007271     -0.032046
   19561    19990831       0.001708     -0.009987     -0.030607     -0.006254
   19561    19990930      -0.059310     -0.022846     -0.014250     -0.028552
   19561    19991029       0.080645      0.062147     -0.001351      0.062539
   19561    19991130      -0.115007      0.036823      0.091409      0.019062
