    DATE        PS_LEVEL        PS_INNOV          PS_VWF
20091030    -0.059153984    -0.044057129     0.058015861
20091130    -0.033550219    -0.003828856    -0.004162722
20091231     0.121220653     0.001881385     0.059358025
20100129     0.060301433      0.11301118    -0.037223632
20100226     0.017738043     0.037056897     0.007430737
20100331     0.017568467     0.030754148    -0.065471852
20100430    -0.046532955    -0.034537969    -0.009871367
20100528    -0.075341206    -0.018538431    -0.010398909
20100630    -0.060486022     0.008031134     0.016956552
20100730    -0.008152779     0.007775775     0.043579346
20100831     0.014968769      0.02711783     0.070582709
20100930    -0.033607972     0.083019843     0.043992471
20101029    -0.044943483     -0.05172465     0.051329423
20101130    -0.011372871     0.007050678     0.026501359
20101231     0.021319179     0.070910819    -0.022142491
20110131      -0.0067205     0.001536278     0.002806926
20110228    -0.011281592     0.006772248     0.011355646
20110331    -0.025009389    -0.012143649     0.032074186
20110429     0.013724177     0.028105402    -0.006446987
20110531     0.018578076     0.023540231    -0.010930656
20110630     -0.00911721     0.028695401    -0.001508602
20110729    -0.022752724     0.008276209     0.019816863
20110831    -0.058754269    -0.052315229    -0.042268966
20110930     0.025499148     0.049162095     -0.07540203
20111031    -0.045889459      0.02056974      0.07836499
20111130    -0.094146785    -0.023500706     0.026952319
20111230     0.008939774     0.052241527    -0.067741701
20120131     0.019573857     0.052805295    -0.024656745
20120229      0.03188964     0.011425017     0.018939651
